RQ Manager 1.2 RQ Study Results																									
StudyName	denervation study 3 days Murf Atrogin Hdac.sdm																								
Operator																									
																									
Well	PlateID	Sample	Detector	Task	Ct	delta Rn	delta Ct	Ct Avg	Ct SD	Avg Delta Ct	delta Ct SD	Endo Ct Avg	Endo Ct SD	delta delta Ct	RQ	RQ Min	RQ Max	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	Instrument	Well Status	Rejected
140			HDAC 4	Target	26.890602	2.7084966	16.679901			16.595348	0.30484912			0.78159523	0.5817232	0.071437486	4.7370353	Automatic			Automatic	0.05448952	279002397		
141			18S rRNA	Endogenous Control	9.766998	3.5846572												Automatic			Automatic	0.118565686	279002397		
141			HDAC 4	Target	26.842981	2.730767	17.075983			16.595348	0.30484912			0.78159523	0.5817232	0.071437486	4.7370353	Automatic			Automatic	0.05448952	279002397		
142			18S rRNA	Endogenous Control	10.952044	3.2792106												Automatic			Automatic	0.118565686	279002397		
142			HDAC 4	Target	26.982203	2.7418222	16.030159			16.595348	0.30484912			0.78159523	0.5817232	0.071437486	4.7370353	Automatic			Automatic	0.05448952	279002397		
146			18S rRNA	Endogenous Control	11.498814	3.274201												Automatic			Automatic	0.118565686	279002397		
146			HDAC 4	Target	24.652107	2.921754	13.153294			13.137451	0.31875423			-2.676302	6.3921533	0.7133669	57.27714	Automatic			Automatic	0.05448952	279002397		
147			18S rRNA	Endogenous Control	11.9740715	3.185499												Automatic			Automatic	0.118565686	279002397		
147			HDAC 4	Target	24.551674	3.0094957	12.577602			13.137451	0.31875423			-2.676302	6.3921533	0.7133669	57.27714	Automatic			Automatic	0.05448952	279002397		
148			18S rRNA	Endogenous Control	10.665658	3.6267219												Automatic			Automatic	0.118565686	279002397		
148			HDAC 4	Target	24.347116	3.0684588	13.681458			13.137451	0.31875423			-2.676302	6.3921533	0.7133669	57.27714	Automatic			Automatic	0.05448952	279002397		
149			18S rRNA	Endogenous Control	11.49249	3.278394												Automatic			Automatic	0.118565686	279002397		
149			HDAC 4	Target	24.23176	3.1033232	12.73927			12.749774	0.21556741			-3.0639791	8.36276	1.8980348	36.84641	Automatic			Automatic	0.05448952	279002397		
150			18S rRNA	Endogenous Control	11.850898	3.1824784												Automatic			Automatic	0.118565686	279002397		
150			HDAC 4	Target	24.23266	3.0930357	12.3817625			12.749774	0.21556741			-3.0639791	8.36276	1.8980348	36.84641	Automatic			Automatic	0.05448952	279002397		
151			18S rRNA	Endogenous Control	11.052431	3.3798213												Automatic			Automatic	0.118565686	279002397		
151			HDAC 4	Target	24.18072	3.0343146	13.128288			12.749774	0.21556741			-3.0639791	8.36276	1.8980348	36.84641	Automatic			Automatic	0.05448952	279002397		
152			18S rRNA	Endogenous Control	11.737966	3.2652876												Automatic			Automatic	0.118565686	279002397		
152			HDAC 4	Target	26.90714	2.6523325	15.169175			15.36373	0.10367658			-0.4500227	1.3660618	0.6694503	2.7875478	Automatic			Automatic	0.05448952	279002397		
153			18S rRNA	Endogenous Control	11.456628	3.3476071												Automatic			Automatic	0.118565686	279002397		
153			HDAC 4	Target	26.979746	2.644197	15.523118			15.36373	0.10367658			-0.4500227	1.3660618	0.6694503	2.7875478	Automatic			Automatic	0.05448952	279002397		
154			18S rRNA	Endogenous Control	11.611795	3.2310758												Automatic			Automatic	0.118565686	279002397		
154			HDAC 4	Target	27.010695	2.6029584	15.398899			15.36373	0.10367658			-0.4500227	1.3660618	0.6694503	2.7875478	Automatic			Automatic	0.05448952	279002397		
155			18S rRNA	Endogenous Control	11.751488	3.2436585												Automatic			Automatic	0.118565686	279002397		
155			HDAC 4	Target	25.07647	2.932306	13.324982			13.263465	0.034498177			-2.5502882	5.857513	4.62002	7.4264736	Automatic			Automatic	0.05448952	279002397		
156			18S rRNA	Endogenous Control	11.76977	3.2238612												Automatic			Automatic	0.118565686	279002397		
156			HDAC 4	Target	24.975418	2.9036388	13.205648			13.263465	0.034498177			-2.5502882	5.857513	4.62002	7.4264736	Automatic			Automatic	0.05448952	279002397		
157			18S rRNA	Endogenous Control	11.710543	3.249467												Automatic			Automatic	0.118565686	279002397		
157			HDAC 4	Target	24.970308	2.8845518	13.259766			13.263465	0.034498177			-2.5502882	5.857513	4.62002	7.4264736	Automatic			Automatic	0.05448952	279002397		
158			18S rRNA	Endogenous Control	12.446748	3.1106465												Automatic			Automatic	0.118565686	279002397		
158			HDAC 4	Target	27.923477	2.3145106	15.476729			15.570601	0.061127234			-0.24315166	1.1835754	0.77726233	1.8022884	Automatic			Automatic	0.05448952	279002397		
159			18S rRNA	Endogenous Control	12.096802	3.235253												Automatic			Automatic	0.118565686	279002397		
159			HDAC 4	Target	27.782167	2.3310242	15.685366			15.570601	0.061127234			-0.24315166	1.1835754	0.77726233	1.8022884	Automatic			Automatic	0.05448952	279002397		
160			18S rRNA	Endogenous Control	12.248399	3.1507235												Automatic			Automatic	0.118565686	279002397		
160			HDAC 4	Target	27.79811	2.3944721	15.54971			15.570601	0.061127234			-0.24315166	1.1835754	0.77726233	1.8022884	Automatic			Automatic	0.05448952	279002397		
161			18S rRNA	Endogenous Control	11.843987	3.2415726												Automatic			Automatic	0.118565686	279002397		
161			HDAC 4	Target	25.479515	2.9199996	13.635528			13.448992	0.17899324			-2.3647614	5.1506743	1.5034549	17.645655	Automatic			Automatic	0.05448952	279002397		
162			18S rRNA	Endogenous Control	12.530284	3.1051984												Automatic			Automatic	0.118565686	279002397		
162			HDAC 4	Target	25.621397	2.954529	13.091113			13.448992	0.17899324			-2.3647614	5.1506743	1.5034549	17.645655	Automatic			Automatic	0.05448952	279002397		
163			18S rRNA	Endogenous Control	11.998754	3.1813257												Automatic			Automatic	0.118565686	279002397		
163			HDAC 4	Target	25.61909	2.9062319	13.620336			13.448992	0.17899324			-2.3647614	5.1506743	1.5034549	17.645655	Automatic			Automatic	0.05448952	279002397		
164			18S rRNA	Endogenous Control	11.682326	3.292962												Automatic			Automatic	0.118565686	279002397		
164			HDAC 4	Target	27.024326	2.5759842	15.342			15.104195	0.19757679			-0.7095585	1.6353036	0.42005202	6.366396	Automatic			Automatic	0.05448952	279002397		
165			18S rRNA	Endogenous Control	12.348947	3.0572228												Automatic			Automatic	0.118565686	279002397		
165			HDAC 4	Target	27.060932	2.634972	14.711986			15.104195	0.19757679			-0.7095585	1.6353036	0.42005202	6.366396	Automatic			Automatic	0.05448952	279002397		
166			18S rRNA	Endogenous Control	11.962289	3.2503657												Automatic			Automatic	0.118565686	279002397		
166			HDAC 4	Target	27.220886	2.6338744	15.258597			15.104195	0.19757679			-0.7095585	1.6353036	0.42005202	6.366396	Automatic			Automatic	0.05448952	279002397		
170			18S rRNA	Endogenous Control	11.392568	3.1903024												Automatic			Automatic	0.118565686	279002397		
170			HDAC 4	Target	24.374926	2.997019	12.982358			13.055395	0.042464245			-2.758358	6.7662573	5.052183	9.061872	Automatic			Automatic	0.05448952	279002397		
171			18S rRNA	Endogenous Control	11.190739	3.3151853												Automatic			Automatic	0.118565686	279002397		
171			HDAC 4	Target	24.320187	3.1330526	13.129448			13.055395	0.042464245			-2.758358	6.7662573	5.052183	9.061872	Automatic			Automatic	0.05448952	279002397		
172			18S rRNA	Endogenous Control	11.290941	3.2715356												Automatic			Automatic	0.118565686	279002397		
172			HDAC 4	Target	24.345322	3.123119	13.05438			13.055395	0.042464245			-2.758358	6.7662573	5.052183	9.061872	Automatic			Automatic	0.05448952	279002397		
173			18S rRNA	Endogenous Control	12.231036	3.4520333												Automatic			Automatic	0.118565686	279002397		
173			HDAC 4	Target	28.41045	2.1933699	16.179413			16.237251	0.06603169			0.42349815	0.7456145	0.47340527	1.1743448	Automatic			Automatic	0.05448952	279002397		
174			18S rRNA	Endogenous Control	12.326558	3.4357822												Automatic			Automatic	0.118565686	279002397		
174			HDAC 4	Target	28.695547	2.2302341	16.368988			16.237251	0.06603169			0.42349815	0.7456145	0.47340527	1.1743448	Automatic			Automatic	0.05448952	279002397		
175			18S rRNA	Endogenous Control	12.498388	3.388844												Automatic			Automatic	0.118565686	279002397		
175			HDAC 4	Target	28.66174	2.2414339	16.163351			16.237251	0.06603169			0.42349815	0.7456145	0.47340527	1.1743448	Automatic			Automatic	0.05448952	279002397		
176			18S rRNA	Endogenous Control	11.708105	3.419541												Automatic			Automatic	0.118565686	279002397		
176			HDAC 4	Target	26.236746	2.7305748	14.528641			14.267952	0.17126763			-1.5458012	2.9196615	0.89875317	9.484722	Automatic			Automatic	0.05448952	279002397		
177			18S rRNA	Endogenous Control	12.192541	3.2137177												Automatic			Automatic	0.118565686	279002397		
177			HDAC 4	Target	26.13772	2.7466025	13.945179			14.267952	0.17126763			-1.5458012	2.9196615	0.89875317	9.484722	Automatic			Automatic	0.05448952	279002397		
178			18S rRNA	Endogenous Control	11.944301	3.4064744												Automatic			Automatic	0.118565686	279002397		
178			HDAC 4	Target	26.274338	2.768963	14.330037			14.267952	0.17126763			-1.5458012	2.9196615	0.89875317	9.484722	Automatic			Automatic	0.05448952	279002397		
179			18S rRNA	Endogenous Control	11.584382	3.3599148												Automatic			Automatic	0.118565686	279002397		
179			HDAC 4	Target	26.906847	2.5852075	15.322465			15.045998	0.1383137			-0.7677555	1.7026188	0.6574777	4.4091396	Automatic			Automatic	0.05448952	279002397		
180			18S rRNA	Endogenous Control	11.898065	3.236565												Automatic			Automatic	0.118565686	279002397		
180			HDAC 4	Target	26.813969	2.5599856	14.915904			15.045998	0.1383137			-0.7677555	1.7026188	0.6574777	4.4091396	Automatic			Automatic	0.05448952	279002397		
181			18S rRNA	Endogenous Control	11.94682	3.2263985												Automatic			Automatic	0.118565686	279002397		
181			HDAC 4	Target	26.846443	2.5693502	14.899623			15.045998	0.1383137			-0.7677555	1.7026188	0.6574777	4.4091396	Automatic			Automatic	0.05448952	279002397		
182			18S rRNA	Endogenous Control	12.618175	3.064779												Automatic			Automatic	0.118565686	279002397		
182			HDAC 4	Target	25.921179	2.6551285	13.303004			13.144636	0.3318635			-2.669117	6.360398	0.64861035	62.371284	Automatic			Automatic	0.05448952	279002397		
183			18S rRNA	Endogenous Control	12.254045	3.2465992												Automatic			Automatic	0.118565686	279002397		
183			HDAC 4	Target	25.877699	2.723429	13.623654			13.144636	0.3318635			-2.669117	6.360398	0.64861035	62.371284	Automatic			Automatic	0.05448952	279002397		
184			18S rRNA	Endogenous Control	12.243116	4.538802												Automatic			Automatic	0.118565686	279002397		
184			HDAC 4	Target	24.750366	3.662598	12.50725			13.144636	0.3318635			-2.669117	6.360398	0.64861035	62.371284	Automatic			Automatic	0.05448952	279002397		
185			18S rRNA	Endogenous Control	12.317545	3.2997255												Automatic			Automatic	0.118565686	279002397		
185			HDAC 4	Target	27.386303	2.642698	15.068758			15.329432	0.18351911			-0.4843216	1.3989279	0.39582187	4.944141	Automatic			Automatic	0.05448952	279002397		
186			18S rRNA	Endogenous Control	12.172518	3.3466702												Automatic			Automatic	0.118565686	279002397		
186			HDAC 4	Target	27.408512	2.609713	15.235994			15.329432	0.18351911			-0.4843216	1.3989279	0.39582187	4.944141	Automatic			Automatic	0.05448952	279002397		
187			18S rRNA	Endogenous Control	11.705561	3.4508426												Automatic			Automatic	0.118565686	279002397		
187			HDAC 4	Target	27.389103	2.621437	15.683542			15.329432	0.18351911			-0.4843216	1.3989279	0.39582187	4.944141	Automatic			Automatic	0.05448952	279002397		
188			18S rRNA	Endogenous Control	12.025862	3.2323995												Automatic			Automatic	0.118565686	279002397		
188			HDAC 4	Target	25.521627	2.8847573	13.495766			13.587858	0.39508027			-2.225895	4.67801	0.30880868	70.86516	Automatic			Automatic	0.05448952	279002397		
189			18S rRNA	Endogenous Control	12.58629	3.1677277												Automatic			Automatic	0.118565686	279002397		
189			HDAC 4	Target	25.54056	2.9480772	12.954269			13.587858	0.39508027			-2.225895	4.67801	0.30880868	70.86516	Automatic			Automatic	0.05448952	279002397		
190			18S rRNA	Endogenous Control	11.212609	3.5218215												Automatic			Automatic	0.118565686	279002397		
190			HDAC 4	Target	25.52615	2.9605887	14.31354			13.587858	0.39508027			-2.225895	4.67801	0.30880868	70.86516	Automatic			Automatic	0.05448952	279002397		
194			18S rRNA	Endogenous Control	12.288839	3.4812617												Automatic			Automatic	0.118565686	279002397		
194			HDAC 4	Target	27.580992	2.5164514	15.292152			15.505539	0.10671758			-0.3082142	1.2381741	0.5942158	2.579997	Automatic			Automatic	0.05448952	279002397		
195			18S rRNA	Endogenous Control	11.945084	3.5952637												Automatic			Automatic	0.118565686	279002397		
195			HDAC 4	Target	27.561274	2.5513783	15.61619			15.505539	0.10671758			-0.3082142	1.2381741	0.5942158	2.579997	Automatic			Automatic	0.05448952	279002397		
196			18S rRNA	Endogenous Control	12.186025	3.4637396												Automatic			Automatic	0.118565686	279002397		
196			HDAC 4	Target	27.794298	2.5528324	15.6082735			15.505539	0.10671758			-0.3082142	1.2381741	0.5942158	2.579997	Automatic			Automatic	0.05448952	279002397		
197			18S rRNA	Endogenous Control	10.792953	3.4129822												Automatic			Automatic	0.118565686	279002397		
197			HDAC 4	Target	23.795996	3.1602647	13.003043			13.0409775	0.24230014			-2.7727757	6.834215	1.2905489	36.19119	Automatic			Automatic	0.05448952	279002397		
198			18S rRNA	Endogenous Control	10.289694	3.6221213												Automatic			Automatic	0.118565686	279002397		
198			HDAC 4	Target	23.768026	3.1696672	13.4783325			13.0409775	0.24230014			-2.7727757	6.834215	1.2905489	36.19119	Automatic			Automatic	0.05448952	279002397		
199			18S rRNA	Endogenous Control	11.122953	3.3395941												Automatic			Automatic	0.118565686	279002397		
199			HDAC 4	Target	23.76451	3.1697102	12.641556			13.0409775	0.24230014			-2.7727757	6.834215	1.2905489	36.19119	Automatic			Automatic	0.05448952	279002397		
200			18S rRNA	Endogenous Control	12.358554	3.4108846												Automatic			Automatic	0.118565686	279002397		
200			HDAC 4	Target	28.439072	2.2857141	16.080517			15.757097	0.17816254			-0.056655884	1.0400522	0.30532566	3.5428026	Automatic			Automatic	0.05448952	279002397		
201			18S rRNA	Endogenous Control	12.534315	3.381053												Automatic			Automatic	0.118565686	279002397		
201			HDAC 4	Target	28.259224	2.267155	15.724909			15.757097	0.17816254			-0.056655884	1.0400522	0.30532566	3.5428026	Automatic			Automatic	0.05448952	279002397		
202			18S rRNA	Endogenous Control	12.525613	3.3977566												Automatic			Automatic	0.118565686	279002397		
202			HDAC 4	Target	27.99148	2.3616695	15.465867			15.757097	0.17816254			-0.056655884	1.0400522	0.30532566	3.5428026	Automatic			Automatic	0.05448952	279002397		
203			18S rRNA	Endogenous Control	11.792962	3.2674825												Automatic			Automatic	0.118565686	279002397		
203			HDAC 4	Target	25.16898	2.8595634	13.376018			13.745055	0.19769113			-2.068698	4.195079	1.0767211	16.344702	Automatic			Automatic	0.05448952	279002397		
204			18S rRNA	Endogenous Control	11.287569	3.4157655												Automatic			Automatic	0.118565686	279002397		
204			HDAC 4	Target	25.34004	2.8301947	14.052471			13.745055	0.19769113			-2.068698	4.195079	1.0767211	16.344702	Automatic			Automatic	0.05448952	279002397		
205			18S rRNA	Endogenous Control	11.67324	3.3089287												Automatic			Automatic	0.118565686	279002397		
205			HDAC 4	Target	25.479918	2.836431	13.806678			13.745055	0.19769113			-2.068698	4.195079	1.0767211	16.344702	Automatic			Automatic	0.05448952	279002397		
206			18S rRNA	Endogenous Control	11.16958	3.4149628												Automatic			Automatic	0.118565686	279002397		
206			HDAC 4	Target	27.01297	2.6334643	15.8433895			15.541646	0.1867024			-0.27210712	1.2075702	0.33427683	4.362331	Automatic			Automatic	0.05448952	279002397		
207			18S rRNA	Endogenous Control	11.7515955	3.2771966												Automatic			Automatic	0.118565686	279002397		
207			HDAC 4	Target	26.95188	2.658363	15.200284			15.541646	0.1867024			-0.27210712	1.2075702	0.33427683	4.362331	Automatic			Automatic	0.05448952	279002397		
208			18S rRNA	Endogenous Control	11.492269	3.3674552												Automatic			Automatic	0.118565686	279002397		
208			HDAC 4	Target	27.073532	2.7030518	15.581264			15.541646	0.1867024			-0.27210712	1.2075702	0.33427683	4.362331	Automatic			Automatic	0.05448952	279002397		
209			18S rRNA	Endogenous Control	11.668145	3.3574843												Automatic			Automatic	0.118565686	279002397		
209			HDAC 4	Target	25.02554	3.0227232	13.357394			13.206598	0.09655408			-2.6071548	6.093009	3.1358807	11.838702	Automatic			Automatic	0.05448952	279002397		
210			18S rRNA	Endogenous Control	11.934907	3.3156612												Automatic			Automatic	0.118565686	279002397		
210			HDAC 4	Target	24.96164	3.109414	13.026732			13.206598	0.09655408			-2.6071548	6.093009	3.1358807	11.838702	Automatic			Automatic	0.05448952	279002397		
211			18S rRNA	Endogenous Control	11.871188	3.319176												Automatic			Automatic	0.118565686	279002397		
211			HDAC 4	Target	25.106855	3.1255202	13.235667			13.206598	0.09655408			-2.6071548	6.093009	3.1358807	11.838702	Automatic			Automatic	0.05448952	279002397		
212			18S rRNA	Endogenous Control	24.547277	2.6853638												Automatic			Automatic	0.118565686	279002397		
212			HDAC 4	Target	35.96079	0.51375943	11.413511			15.472087				-0.34166622	1.2672193			Automatic			Automatic	0.05448952	279002397		
213			18S rRNA	Endogenous Control	24.52229	2.7386098												Automatic			Automatic	0.118565686	279002397		
213			HDAC 4	Target	Undetermined	0.001285475	15.477711			15.472087				-0.34166622	1.2672193			Automatic			Automatic	0.05448952	279002397		
214			18S rRNA	Endogenous Control	24.533537	2.6853878												Automatic			Automatic	0.118565686	279002397		
214			HDAC 4	Target	Undetermined	-0.008477728	15.466463			15.472087				-0.34166622	1.2672193			Automatic			Automatic	0.05448952	279002397		
218			18S rRNA	Endogenous Control	9.949632	3.3684356												Automatic			Automatic	0.118565686	279002397		
218			MuRF1	Target	22.615395	4.2342596	12.665763			12.547138	0.26087233			-2.5459204	5.8398056	0.9705023	35.13988	Automatic			Automatic	0.40450782	279002397		
219			18S rRNA	Endogenous Control	10.599676	3.11895												Automatic			Automatic	0.118565686	279002397		
219			MuRF1	Target	22.647491	4.275599	12.047815			12.547138	0.26087233			-2.5459204	5.8398056	0.9705023	35.13988	Automatic			Automatic	0.40450782	279002397		
220			18S rRNA	Endogenous Control	9.760264	3.3041086												Automatic			Automatic	0.118565686	279002397		
220			MuRF1	Target	22.6881	4.217435	12.927836			12.547138	0.26087233			-2.5459204	5.8398056	0.9705023	35.13988	Automatic			Automatic	0.40450782	279002397		
221			18S rRNA	Endogenous Control	10.742592	3.2754261												Automatic			Automatic	0.118565686	279002397		
221			MuRF1	Target	23.459984	4.185573	12.717392			12.582211	0.17756766			-2.510848	5.69955	1.6800648	19.335485	Automatic			Automatic	0.40450782	279002397		
222			18S rRNA	Endogenous Control	10.619827	3.2569427												Automatic			Automatic	0.118565686	279002397		
222			MuRF1	Target	23.41885	4.21992	12.799023			12.582211	0.17756766			-2.510848	5.69955	1.6800648	19.335485	Automatic			Automatic	0.40450782	279002397		
223			18S rRNA	Endogenous Control	11.254769	3.062791												Automatic			Automatic	0.118565686	279002397		
223			MuRF1	Target	23.484985	4.1786737	12.230216			12.582211	0.17756766			-2.510848	5.69955	1.6800648	19.335485	Automatic			Automatic	0.40450782	279002397		
224			18S rRNA	Endogenous Control	14.937592	3.0258682												Automatic			Automatic	0.118565686	279002397		
224			MuRF1	Target	27.038404	3.79623	12.100813			12.0852585	0.03507121			-3.0078	8.04337	6.3191204	10.238103	Automatic			Automatic	0.40450782	279002397		
225			18S rRNA	Endogenous Control	14.8139105	3.0419354												Automatic			Automatic	0.118565686	279002397		
225			MuRF1	Target	26.950624	3.8844182	12.136714			12.0852585	0.03507121			-3.0078	8.04337	6.3191204	10.238103	Automatic			Automatic	0.40450782	279002397		
226			18S rRNA	Endogenous Control	14.959786	3.025684												Automatic			Automatic	0.118565686	279002397		
226			MuRF1	Target	26.978035	3.86489	12.018249			12.0852585	0.03507121			-3.0078	8.04337	6.3191204	10.238103	Automatic			Automatic	0.40450782	279002397		
227			18S rRNA	Endogenous Control	18.97734	2.8438716												Automatic			Automatic	0.118565686	279002397		
227			MuRF1	Target	30.372658	3.3257103	11.395317			11.604252	0.10562683			-3.4888067	11.22627	5.428211	23.217432	Automatic			Automatic	0.40450782	279002397		
228			18S rRNA	Endogenous Control	18.749302	2.856559												Automatic			Automatic	0.118565686	279002397		
228			MuRF1	Target	30.485054	3.31525	11.735752			11.604252	0.10562683			-3.4888067	11.22627	5.428211	23.217432	Automatic			Automatic	0.40450782	279002397		
229			18S rRNA	Endogenous Control	18.867855	2.8474803												Automatic			Automatic	0.118565686	279002397		
229			MuRF1	Target	30.549541	3.3275115	11.681686			11.604252	0.10562683			-3.4888067	11.22627	5.428211	23.217432	Automatic			Automatic	0.40450782	279002397		
230			18S rRNA	Endogenous Control	21.926908	2.7537491												Automatic			Automatic	0.118565686	279002397		
230			MuRF1	Target	33.334843	2.6199548	11.407934			11.772415	0.19849434			-3.3206434	9.991099	2.5502138	39.14262	Automatic			Automatic	0.40450782	279002397		
231			18S rRNA	Endogenous Control	22.19937	2.7447953												Automatic			Automatic	0.118565686	279002397		
231			MuRF1	Target	34.29028	2.3011212	12.09091			11.772415	0.19849434			-3.3206434	9.991099	2.5502138	39.14262	Automatic			Automatic	0.40450782	279002397		
232			18S rRNA	Endogenous Control	22.088757	2.6914008												Automatic			Automatic	0.118565686	279002397		
232			MuRF1	Target	33.907158	2.4141033	11.818401			11.772415	0.19849434			-3.3206434	9.991099	2.5502138	39.14262	Automatic			Automatic	0.40450782	279002397		
233			18S rRNA	Endogenous Control	11.374522	2.9547362												Automatic			Automatic	0.118565686	279002397		
233			MuRF1	Target	26.493547	3.8483534	15.119025			15.093059	0.033918157			0	1	0.79188764	1.2628055	Automatic			Automatic	0.40450782	279002397		
234			18S rRNA	Endogenous Control	11.422395	2.9594393												Automatic			Automatic	0.118565686	279002397		
234			MuRF1	Target	26.448196	3.893597	15.025802			15.093059	0.033918157			0	1	0.79188764	1.2628055	Automatic			Automatic	0.40450782	279002397		
235			18S rRNA	Endogenous Control	11.36263	2.9997935												Automatic			Automatic	0.118565686	279002397		
235			MuRF1	Target	26.496979	3.908486	15.134349			15.093059	0.033918157			0	1	0.79188764	1.2628055	Automatic			Automatic	0.40450782	279002397		
236			18S rRNA	Endogenous Control	11.045894	2.9790294												Automatic			Automatic	0.118565686	279002397		
236			MuRF1	Target	26.190739	3.9048886	15.144845			15.233864	0.04856382			0.14080524	0.90701276	0.6494122	1.2667949	Automatic			Automatic	0.40450782	279002397		
237			18S rRNA	Endogenous Control	10.903389	3.0879135												Automatic			Automatic	0.118565686	279002397		
237			MuRF1	Target	26.148117	3.9758327	15.244728			15.233864	0.04856382			0.14080524	0.90701276	0.6494122	1.2667949	Automatic			Automatic	0.40450782	279002397		
238			18S rRNA	Endogenous Control	10.886892	3.0246313												Automatic			Automatic	0.118565686	279002397		
238			MuRF1	Target	26.198912	3.9456422	15.312019			15.233864	0.04856382			0.14080524	0.90701276	0.6494122	1.2667949	Automatic			Automatic	0.40450782	279002397		
242			18S rRNA	Endogenous Control	10.681286	3.3555658												Automatic			Automatic	0.118565686	279002397		
242			MuRF1	Target	23.45555	4.3059435	12.774263			12.318744	0.23086171			-2.7743149	6.8415103	1.3976941	33.48821	Automatic			Automatic	0.40450782	279002397		
243			18S rRNA	Endogenous Control	11.279016	3.2523503												Automatic			Automatic	0.118565686	279002397		
243			MuRF1	Target	23.435328	4.3505397	12.156312			12.318744	0.23086171			-2.7743149	6.8415103	1.3976941	33.48821	Automatic			Automatic	0.40450782	279002397		
244			18S rRNA	Endogenous Control	11.507013	3.1351655												Automatic			Automatic	0.118565686	279002397		
244			MuRF1	Target	23.53267	4.2845035	12.025656			12.318744	0.23086171			-2.7743149	6.8415103	1.3976941	33.48821	Automatic			Automatic	0.40450782	279002397		
245			18S rRNA	Endogenous Control	11.463225	3.10282												Automatic			Automatic	0.118565686	279002397		
245			MuRF1	Target	23.06646	4.3619184	11.603234			11.60653	0.021478223			-3.4865284	11.208555	9.668959	12.993303	Automatic			Automatic	0.40450782	279002397		
246			18S rRNA	Endogenous Control	11.423294	3.0546885												Automatic			Automatic	0.118565686	279002397		
246			MuRF1	Target	23.068563	4.3171844	11.645269			11.60653	0.021478223			-3.4865284	11.208555	9.668959	12.993303	Automatic			Automatic	0.40450782	279002397		
247			18S rRNA	Endogenous Control	11.610782	2.9720712												Automatic			Automatic	0.118565686	279002397		
247			MuRF1	Target	23.181868	4.305013	11.571086			11.60653	0.021478223			-3.4865284	11.208555	9.668959	12.993303	Automatic			Automatic	0.40450782	279002397		
248			18S rRNA	Endogenous Control	11.4110155	3.2190661												Automatic			Automatic	0.118565686	279002397		
248			MuRF1	Target	26.378506	4.0729103	14.96749			15.091368	0.0856721			-0.001690865	1.0011727	0.5553267	1.8049676	Automatic			Automatic	0.40450782	279002397		
249			18S rRNA	Endogenous Control	11.074439	3.2784579												Automatic			Automatic	0.118565686	279002397		
249			MuRF1	Target	26.330263	4.0686746	15.255824			15.091368	0.0856721			-0.001690865	1.0011727	0.5553267	1.8049676	Automatic			Automatic	0.40450782	279002397		
250			18S rRNA	Endogenous Control	11.385514	3.2491214												Automatic			Automatic	0.118565686	279002397		
250			MuRF1	Target	26.436302	4.0076604	15.050788			15.091368	0.0856721			-0.001690865	1.0011727	0.5553267	1.8049676	Automatic			Automatic	0.40450782	279002397		
251			18S rRNA	Endogenous Control	11.9407625	3.036631												Automatic			Automatic	0.118565686	279002397		
251			MuRF1	Target	24.674377	4.095337	12.733615			12.798788	0.03541383			-2.2942705	4.905059	3.8444943	6.2581973	Automatic			Automatic	0.40450782	279002397		
252			18S rRNA	Endogenous Control	11.791921	3.1395679												Automatic			Automatic	0.118565686	279002397		
252			MuRF1	Target	24.59928	4.197323	12.807359			12.798788	0.03541383			-2.2942705	4.905059	3.8444943	6.2581973	Automatic			Automatic	0.40450782	279002397		
253			18S rRNA	Endogenous Control	11.946304	3.0646322												Automatic			Automatic	0.118565686	279002397		
253			MuRF1	Target	24.801695	4.1358123	12.855391			12.798788	0.03541383			-2.2942705	4.905059	3.8444943	6.2581973	Automatic			Automatic	0.40450782	279002397		
254			18S rRNA	Endogenous Control	11.977127	3.1052482												Automatic			Automatic	0.118565686	279002397		
254			MuRF1	Target	27.333164	3.791125	15.356037			15.292127	0.039367348			0.19906807	0.87111306	0.6644429	1.1420665	Automatic			Automatic	0.40450782	279002397		
255			18S rRNA	Endogenous Control	12.03843	3.0772808												Automatic			Automatic	0.118565686	279002397		
255			MuRF1	Target	27.258778	3.8859622	15.220347			15.292127	0.039367348			0.19906807	0.87111306	0.6644429	1.1420665	Automatic			Automatic	0.40450782	279002397		
256			18S rRNA	Endogenous Control	11.663477	3.1448803												Automatic			Automatic	0.118565686	279002397		
256			MuRF1	Target	26.963472	3.8561668	15.299995			15.292127	0.039367348			0.19906807	0.87111306	0.6644429	1.1420665	Automatic			Automatic	0.40450782	279002397		
257			18S rRNA	Endogenous Control	11.886822	2.9668312												Automatic			Automatic	0.118565686	279002397		
257			MuRF1	Target	24.07153	4.164136	12.184708			12.184685	0.04163641			-2.9083738	7.5077147	5.6378264	9.997786	Automatic			Automatic	0.40450782	279002397		
258			18S rRNA	Endogenous Control	11.994786	2.9762197												Automatic			Automatic	0.118565686	279002397		
258			MuRF1	Target	24.107344	4.1642227	12.112557			12.184685	0.04163641			-2.9083738	7.5077147	5.6378264	9.997786	Automatic			Automatic	0.40450782	279002397		
259			18S rRNA	Endogenous Control	11.790344	3.0316384												Automatic			Automatic	0.118565686	279002397		
259			MuRF1	Target	24.047134	4.200726	12.25679			12.184685	0.04163641			-2.9083738	7.5077147	5.6378264	9.997786	Automatic			Automatic	0.40450782	279002397		
260			18S rRNA	Endogenous Control	11.878378	3.2240574												Automatic			Automatic	0.118565686	279002397		
